original_response,id,declarative,gen_ans,gen_ans_id,gt_ans,gt_ans_id,hallucinated
The film series that shares the genre with the Frank Capra film is Why We Fight.,20,the film series that shares the genre with the frank capra film is american football.,['american football'],[2367],['why we fight'],[17328],1
John Lutz was educated at Valparaiso University.,23,david j was educated at valparaiso university.,['david j'],[11460],['john lutz'],[8994],1
"Jonas Brothers is the album of a band, cast in Night at the Museum: Battle of the Smithsonian (the one that has Owen Wilson as a cast member) that we know.",29,"clive davis is the album of a band, cast in night at the museum: battle of the smithsonian (the one that has owen wilson as a cast member) that we know.",['clive davis'],[15900],['jonas brothers'],[17665],1
The producer of Persepolis is Kathleen Kennedy and its release region is Israel.,36,the producer of ucla bruins men's basketball is kathleen kennedy and its release region is israel.,"[""ucla bruins men's basketball""]",[16655],['persepolis'],[12933],1
"Jay Leno was born in New Rochelle, one of the cities of the United States.",63,"jay leno was born in new york, i love you, one of the cities of the united states.","['new york, i love you']",[5506],['new rochelle'],[3894],1
Lower Hutt is a part of the capital of North Island.,69,worcester college is a part of the capital of north island.,['worcester college'],[10951],['lower hutt'],[13180],1
"The administrative territorial entity that has the administrative division City of London is London, and it is different from Greater London.",71,"the administrative territorial entity that has the administrative division city of london is london, and it is different from greater london.",[],[],[],[7775],0
Spın̈al Tap is a rock band that is popularly associated with free jazz.,74,bafta award for best actress in a supporting role is a rock band that is popularly associated with free jazz.,['bafta award for best actress in a supporting role'],[8499],['spın̈al tap'],[5893],1
Star Trek: Nemesis is written by Rick Berman.,84,star trek: nemesis is written by rick berman.,[],[],[],[2280],0
Rocky is a video game(s) developed by Sega.,97,order of the british empire is a video game(s) developed by sega.,['order of the british empire'],[6519],['rocky'],[8113],1
Palm Beach is the US town where George Hamilton of Bulworth resides.,108,kentucky wildcats men's basketball is the us town where george hamilton of bulworth resides.,"[""kentucky wildcats men's basketball""]",[8537],['palm beach'],[13546],1
The bass clarinet belongs to the category of instruments played by Marcus Miller.,120,the bass clarinet belongs to the category of instruments played by marcus miller.,[],[],[],[12628],0
Zhejiang is the twinned administrative body of Odense.,122,wesleyan university is the twinned administrative body of odense.,['wesleyan university'],[135],['zhejiang'],[3568],1
Boulogne-Billancourt is the twinned administrative body of Hammersmith.,126,angels in america is the twinned administrative body of hammersmith.,['angels in america'],[16283],['boulogne-billancourt'],[958],1
ParaNorman is a 3D film composed by Jon Brion.,127,european theatre of world war i is a 3d film composed by jon brion.,['european theatre of world war i'],[13754],['paranorman'],[14853],1
Michelangelo Antonioni was born in Ferrara.,140,john williams was born in ferrara.,['john williams'],[3477],['michelangelo antonioni'],[17250],1
Tangerine Dream is famous for ambient music and is the composer of Catch Me If You Can (which has Grant Heslov as a cast member).,141,bafta award for best actor in a supporting role is famous for ambient music and is the composer of catch me if you can (which has grant heslov as a cast member).,['bafta award for best actor in a supporting role'],[9763],['tangerine dream'],[17474],1
Wanda Sykes was educated at the university that is located in Hampton.,146,i love you phillip morris was educated at the university that is located in hampton.,['i love you phillip morris'],[15062],['wanda sykes'],[5429],1
Shakti Kapoor was born in Delhi.,151,dave foley was born in delhi.,['dave foley'],[4214],['shakti kapoor'],[1177],1
Keio University has its headquarters located in the city where the Imperial Japanese Army is also located.,157,mesa has its headquarters located in the city where the imperial japanese army is also located.,['mesa'],[1540],['keio university'],[4462],1
Dave Brubeck's record label is Concord Records.,182,dave brubeck's record label is cheltenham.,['cheltenham'],[7],['concord records'],[16296],1
The movie that had a script written by Sam Raimi was composed by Christopher Young.,187,the movie that had a script written by sam raimi was composed by alfred hitchcock.,['alfred hitchcock'],[4298],['christopher young'],[12571],1
