entity_relation_ids,named_entity,named_entity_id,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10083, 10083, 10083, 10083, 0, 0, 0, 0, 0, 0, 0, 0, 0]",carol burnett,10083,"[[10083, 17979, 17328], [10083, 17979, 9591]]","{6126: 8, 10083: 15}",Text to check:annie has <ent>carol burnett</ent> as a member of the cast.,[],['Annie'],0,954
"[0, 0, 0, 0, 0, 0, 10416, 10416, 10416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",los angeles,10416,"[[10416, 18055, 13897], [10416, 18020, 15743]]",{10416: 1245},Text to check:<ent>los angeles</ent> rams has ron w. miller as a member.,[],['Los Angeles Rams'],0,2510
"[0, 0, 0, 0, 0, 0, 3650, 3650, 3650, 3650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",emma watson,3650,"[[3650, 17848, 10952], [3650, 17884, 13643]]",{3650: 29},Text to check:<ent>emma watson</ent> and russell t davies attended worcester college.,[],['Worcester College'],0,1236
"[0, 0, 0, 0, 0, 0, 13840, 13840, 13840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13840, 13840, 13840, 0, 0, 0, 0, 0]",georgetown university,13840,"[[13840, 18009, 9965], [13840, 18009, 11410]]",{13840: 24},Text to check:<ent>georgetown university</ent> is the parent organization of the <ent>georgetown university</ent> law center.,[],['Georgetown University Law Center'],0,1051
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16251, 16251, 16251, 0, 0, 0]",afghanistan,16251,"[[16251, 17783, 451], [16251, 18066, 4578]]","{10190: 7, 16251: 109}","Text to check:pashto is spoken in kabul, the capital of <ent>afghanistan</ent>.",[],['Pashto'],0,2614
"[0, 0, 0, 0, 0, 0, 2490, 2490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bangor,2490,"[[2490, 17935, 15575], [2490, 17802, 15575]]",{2490: 6},Text to check:<ent>bangor</ent> is a printed work that is published in chester in the uk.,[],['Bangor'],0,2623
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10340, 10340, 10340, 10340, 0, 0, 0, 0, 0]",natalie cole,10340,"[[10340, 17861, 12978], [10340, 17984, 426]]",{10340: 32},Text to check:nat king cole is <ent>natalie cole</ent>'s father.,[],['Nat King Cole'],0,2393
"[0, 0, 0, 0, 0, 0, 11329, 11329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",mtv,11329,"[[11329, 18004, 6962], [11329, 18036, 14205]]",{11329: 11},Text to check:<ent>mtv</ent> movie award for best scared-as-s**t performance was nominated to rose byrne and the grudge.,[],['MTV Movie Award for Best Scared-As-S**t Performance'],0,1775
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6896, 6896, 6896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bristol,6896,"[[6896, 18020, 2622], [6896, 17935, 9222]]","{14775: 25, 6896: 31}",Text to check:julie christie was born in <ent>bristol</ent> and part of the cast of the go-between which was based on literature.,['Julie Christie'],['Michael Redgrave'],1,226
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10458, 10458, 0, 0, 0, 0, 0, 0, 0]",france,10458,"[[10458, 18012, 15355], [10458, 17811, 16870]]",{10458: 1334},Text to check:alpes-maritimes is a department in <ent>france</ent> where nice is located.,[],['Alpes-Maritimes'],0,414
"[0, 0, 0, 0, 0, 0, 68, 68, 68, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jefferson county,68,"[[68, 18066, 14469], [68, 18066, 14469]]",{68: 8},Text to check:<ent>jefferson county</ent> shares a border with loudoun county.,[],['Jefferson County'],0,3207
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1086, 1086, 0, 0, 0]",chicago,1086,"[[1086, 17774, 6697], [1086, 17930, 7505]]","{11701: 13, 1086: 10}",Text to check:don siegel was born in <ent>chicago</ent>.,[],['Chicago'],0,318
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17299, 17299, 0, 0, 0, 0, 0]",washington,17299,"[[17299, 17935, 11913], [17299, 17811, 10881]]","{2729: 6, 17299: 83}",Text to check:lexington is the independent city where both lee university and <ent>washington</ent> are found.,[],['Lexington'],0,2631
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14687, 14687, 14687, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new york,14687,"[[14687, 17811, 10881], [14687, 17814, 10881]]",{14687: 6},Text to check:queens contains a city of <ent>new york</ent> where david shire was born.,['Queens'],['Erie County'],1,2012
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14437, 14437, 0, 0, 0, 0, 0, 0]",montana,14437,"[[14437, 17782, 15226], [14437, 17970, 3463]]","{6387: 30, 14437: 40}",Text to check:vanessa williams is a cast member in hannah <ent>montana</ent>: the movie.,[],['Hannah Montana: The Movie'],0,2935
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3323, 3323, 0, 0, 0]",8 mile,3323,"[[3323, 17798, 3552], [3323, 18034, 12153]]",{3323: 20},Text to check:curtis hanson directed the film <ent>8 mile</ent>.,[],['Curtis Hanson'],0,256
"[0, 0, 0, 0, 0, 0, 12591, 12591, 12591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",netherlands,12591,"[[12591, 17802, 8780], [12591, 17830, 12797]]",{12591: 653},Text to check:<ent>netherlands</ent> has a diplomatic relation with saudi arabia.,[],['Netherlands'],0,413
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9047, 9047, 0, 0, 0, 0, 0, 0, 0, 0, 0]",french,9047,"[[9047, 18003, 6615], [9047, 18003, 3499]]",{9047: 426},Text to check:anchorman: the legend of ron burgundy is a visual artwork whose original language is <ent>french</ent> and whose main subject is television.,[],['Anchorman: The Legend of Ron Burgundy'],0,1034
"[0, 0, 0, 0, 0, 0, 2602, 2602, 2602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",modest mouse,2602,"[[2602, 17881, 10862], [2602, 17860, 10862]]",{2602: 14},Text to check:<ent>modest mouse</ent> is a band that plays lo-fi music.,[],['Modest Mouse'],0,2319
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7841, 7841, 0, 0, 0, 0, 0, 0, 0, 0, 0]",finland,7841,"[[7841, 17870, 1817], [7841, 17895, 13953]]",{7841: 543},Text to check:a person who has an allegiance to <ent>finland</ent> is called christopher lee.,[],['Christopher Lee'],0,1520
"[0, 0, 0, 0, 0, 0, 4937, 4937, 4937, 4937, 4937, 0, 0, 0, 0, 0, 0, 0, 0, 0]",warren zevon,4937,"[[4937, 17773, 8363], [4937, 17786, 15968]]",{4937: 29},Text to check:<ent>warren zevon</ent> passed away due to lung cancer.,[],['lung cancer'],0,3400
"[0, 0, 0, 0, 0, 0, 16569, 16569, 16569, 16569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new york city,16569,"[[16569, 18055, 10064], [16569, 18055, 16701]]",{16569: 1399},Text to check:<ent>new york city</ent> contains the university in which george s. clinton studied.,['New York City'],['Murfreesboro'],1,3377
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7848, 7848, 7848, 7848, 7848, 7848, 0, 0, 0]",james k. polk,7848,"[[7848, 18029, 5035], [7848, 18013, 1851]]",{7848: 23},Text to check:the 25th united states congress was the legislative term of <ent>james k. polk</ent>.,[],['25th United States Congress'],0,3527
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7597, 7597, 7597, 7597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",neil simon,7597,"[[7597, 18022, 15112], [7597, 17813, 10881]]",{7597: 30},Text to check:the name of the university that is the education place of <ent>neil simon</ent> and roger birnbaum is university of denver.,[],['University of Denver'],0,3055
"[0, 0, 0, 0, 0, 0, 2361, 2361, 2361, 0, 0, 0, 0, 0, 0, 0, 0]",john hughes,2361,"[[2361, 17849, 2537], [2361, 17984, 8601]]",{2361: 8},Text to check:<ent>john hughes</ent> is a neuroscientist.,[],['John Hughes'],0,840
"[0, 0, 0, 0, 0, 0, 12609, 12609, 12609, 12609, 12609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",lawrence kasdan,12609,"[[12609, 18036, 278], [12609, 18034, 278]]",{12609: 27},Text to check:<ent>lawrence kasdan</ent> is the production company of the bodyguard.,[],['The Bodyguard'],0,1895
"[0, 0, 0, 0, 0, 0, 13584, 13584, 13584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",john houseman,13584,"[[13584, 18022, 741], [13584, 17813, 8780]]",{13584: 6},Text to check:<ent>john houseman</ent> was born in the country where beasts of the southern wild was released.,[],['John Houseman'],0,2509
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 13979, 13979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13979, 13979, 0, 0, 0]",japan,13979,"[[13979, 17814, 5285], [13979, 17814, 8446]]","{16810: 149, 13979: 944}",Text to check:the imperial <ent>japan</ent>ese army is the army of the empire of <ent>japan</ent>.,[],['Imperial Japanese Army'],0,3107
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3433, 3433, 3433, 3433, 3433, 0, 0, 0, 0, 0, 0]",kristin davis,3433,"[[3433, 18113, 7248], [3433, 17813, 10881]]",{3433: 15},Text to check:the capital of the administrative territorial entity whose united states city is the birthplace of <ent>kristin davis</ent> is boulder county.,[],['Boulder County'],0,3416
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10512, 10512, 10512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new orleans,10512,"[[10512, 18066, 16023], [10512, 18066, 16023]]","{16023: 5, 10512: 104}","Text to check:jefferson parish has a border with <ent>new orleans</ent>, where sam trammell was born.",[],['Jefferson Parish'],0,462
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15296, 15296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",greek,15296,"[[15296, 18003, 4590], [15296, 17970, 10416]]",{15296: 6},"Text to check:oscar is the hollywood award that both my big fat <ent>greek</ent> wedding and zodiac, a drama film, received nominations for.",['Oscar'],['Satellite Award for Best Adapted Screenplay'],1,362
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3793, 3793, 0, 0, 0, 0, 0]",tampa,3793,"[[3793, 17811, 10881], [3793, 17935, 938]]","{3231: 20, 3793: 16}",Text to check:dr. luke was born in the us city where <ent>tampa</ent> is employed.,['Tampa'],['H. P. Lovecraft'],1,1785
"[0, 0, 0, 0, 0, 0, 65, 65, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",muskegon,65,"[[65, 18020, 7216], [65, 18055, 2260]]",{65: 3},Text to check:<ent>muskegon</ent> is the city where iggy pop was born.,[],['Muskegon'],0,1546
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5378, 5378, 5378, 5378, 0, 0, 0]",robert chartoff,5378,"[[5378, 18020, 16569], [5378, 17949, 13548]]",{5378: 18},Text to check:randy edelman was the composer of a visual artwork whose executive producer is <ent>robert chartoff</ent>.,['Randy Edelman'],['Bill Conti'],1,1579
